Tag;pNR;pVersion;pName;Dauer;Uhrzeit;Teilnehmer;RÃ¤ume;PrÃ¼fer
4;5030;172;Öffentl.Verwaltung.,Regul;2;13;26;"3/323" "8/008" "8/023" ;2341/7410;
4;6030;172;Verkehrsinfrastruktur 3;4;13;3;"1/208" ;15364/15358;
4;1020;141;Physikalische Grundl.1;4;13;6;"1/209" ;862/0;
4;1040;141;Baukonst. u.Entwerfen 1;2;13;1;"1/210" ;6281/8713;
4;2010;141;Angwe. Mathematik 2;3;13;20;"1/211" ;17/0;
4;3010;172;Versorgungstechnik;4;14;22;"1/309" "1/311" ;7410/0;
4;5000;172;Arbeitsschutzmanagement;2;14;22;"3/101" ;15994/0;
4;6010;172;Siedlungswasserwirtschaft;6;14;3;"3/111" ;6174/1134;
4;1030;141;Gebäudetechnik 1;2;14;7;"3/212" ;862/0;
4;2020;141;Physikalische Grundl. 2;4;14;19;"2/301" "L/107" "L/106" ;862/0;
4;2060;141;Tragswerksl. u. Material.;3;14;18;"L/111" "8/341" ;862/6317;
4;17490;141;Mathematik 4;3;14;1;"1/106" ;1436/0;
5;3060;172;Projektmanagem.-u.entw.2;3;8;27;"1/227" "1/309" "1/311" ;1974/1597;
5;1010;141;Angew.Mathematik 1;3;8;12;"3/101" ;17/0;
5;2040;141;Simulationswerkzeuge 1;8;8;22;"3/111" ;346/0;
5;1010;131;Entw Erd-/Grund-/Tunnelb.;2;8;2;"3/201" ;815/1126;
5;1040;131;Beme./Konstr. Leichtbau 1;5;8;1;"3/203" ;820/183;
5;2020;131;Strukturmechanik 2;4;8;13;"3/211" "3/212" ;1131/7845;
5;2040;131;Beme./Konstr. Leichtbau 2;4;8;17;"3/214" "3/215" "3/223" ;1131/7845;
5;921922020;192;Strukturmechanik 2;4;8;9;"3/224" ;15291/1131;
5;921922040;192;Leichtbau;4;8;11;"2/264" "2/301" ;7845/1131;
5;921922030;1922;Massivbau;5;8;1;"2/214" ;15282/1969;
5;301923020;192;Kostenmanagement;3;8;24;"1/010" "1/013" ;15440/0;
5;1010;132;Analysis 1;4;8;20;"1/020" "L/107" ;8461/0;
5;2010;132;Analysis 2;4;8;50;"L/106" "L/111" "L/116" "L/123" "L/125" ;2417/0;
5;2030;132;Math. Anwendungen 2;2;8;54;"L/126" "L/128" "1/U27" "1/U28" ;3213/0;
5;3010;132;Stochastik;4;8;44;"3/323" "8/008" "8/023" "8/043" ;82/0;
5;4010;132;Analysis 3;4;8;12;"8/141" "8/146" ;514/0;
5;4040;132;Datenstrukturen/Algorith.;4;8;3;"8/341" ;4406/0;
5;7010;132;Datenbanksysteme;2;8;47;"8/346" "8/003" "1/U37" "1/106" ;92/0;
5;1020;182;Lineare Algebra 1;4;8;134;"1/108" "1/109" "1/110" "1/111" "1/303" "1/306" "1/206" "1/208" "1/209" "1/210" "1/211" ;412/0;
5;2030;182;Math. Anwendungen 2;2;8;33;"1/220" "1/222" "1/225" ;3213/0;
5;5020;172;Projektentw./Baumanag. 3;2;10;24;"3/201" "L/126" ;15982/15489;
5;6050;141;Baugeschichte und Ethik;2;10;10;"L/128" ;862/13711;
5;1050;131;Bauen und Erhalten 1;2;10;1;"1/U27" ;499/820;
5;921921060;192;Recht;2;10;8;"1/U28" ;815/6817;
5;921922020;1922;Strukturmechanik 2;4;10;1;"8/346" ;15291/7845;
5;301928180;192;WPF Techn. Infrastruktur;3;10;6;"8/003" ;6174/7410;
5;2020;132;Lineare Algebra 2;4;10;66;"1/U37" "1/106" "1/220" "1/222" "1/225" ;4169/0;
5;1060;141;Baugesch.u.Gebäudelehre;2;10;16;"1/227" "1/309" ;8713/15208;
5;2030;131;Bemessen/Konst. Massivbau;5;10;11;"1/311" "3/101" ;15282/1969;
5;2040;132;Management und Recht 2;3;10;22;"1/010" "1/013" ;6841/0;
5;1030;131;Strukturmechanik 1;4;11;3;"3/211" ;15291/678;
5;1020;132;Lineare Algebra 1;4;11;58;"3/212" "3/214" "3/215" "3/223" "3/224" ;412/0;
5;3020;132;Software Engineering;4;11;87;"2/264" "2/301" "1/020" "L/107" "L/106" "L/111" "L/116" "L/123" "L/125" ;4406/0;
5;6010;132;Funktionentheorie;4;11;9;"3/323" "8/008" ;455/0;
5;2010;182;Analysis 2;4;11;65;"8/023" "8/043" "8/141" "8/146" "8/341" "1/108" ;2417/0;
5;3020;182;Lineare Algebra 2;4;11;77;"1/109" "1/110" "1/111" "1/303" "1/306" "1/206" "1/208" ;4169/0;
5;4010;182;Analysis 3;4;11;28;"1/209" "1/210" "1/211" ;514/0;
5;921922030;192;Massivbau;5;11;9;"3/203" ;15282/1969;
5;4020;132;Numerik;4;11;4;"2/214" ;95/0;
5;2040;132;Grundlagen Informatik 2;4;12;22;"3/201" ;4406/0;
5;3010;182;Grundlagen Informatik 2;4;12;77;"L/126" "L/128" "1/U27" "1/U28" ;4406/0;
5;1010;182;Analysis 1;4;12;71;"1/227" "1/309" "8/003" ;8461/0;
5;3030;182;Math. Anwendungen 2;2;13;84;"3/111" "1/010" "1/013" "8/346" "1/U37" "1/106" ;3213/0;
5;4050;132;Wirtschaft;4;13;44;"1/220" "1/222" "1/225" ;6415/15819;
5;4020;182;Numerik;4;14;27;"1/311" "3/101" ;95/0;
5;2020;132;Numerische Mathematik;4;14;66;"3/211" "3/212" "3/214" "3/215" "3/223" "3/224" ;95/0;
5;2030;132;Mathematik 2;4;14;54;"2/264" "2/301" "1/020" "L/107" "L/106" "L/111" ;1436/1963;
5;3020;132;Wärmeschutz 1;3;14;87;"L/116" "L/123" "L/125" "3/323" "8/008" "8/023" "8/043" ;346/149;
5;3050;132;Energietechnik 1;4;14;52;"8/141" "8/146" "8/341" "1/108" "1/109" "1/110" ;1436/1471;
5;4020;132;Wärmeschutz 2;3;14;4;"1/111" ;346/149;
5;4050;132;Energietechnik 2;4;14;44;"1/303" "1/306" "1/206" "1/208" ;1436/149;
5;6050;132;Energietechnik 3;4;14;2;"1/209" ;1436/346;
5;7040;132;Betriebspsychologie;2;14;19;"1/210" "1/211" ;3715/0;
6;17220;132;Versicherungsmathematik 2;4;8;1;"1/227" ;1991/1992;
6;3010;132;Schallschutz 1;4;8;44;"1/309" "1/311" "3/101" ;3615/1471;
6;4010;132;Schallschutz 2;4;8;12;"3/111" ;3615/1471;
6;6010;132;Theoret. Bauphysik Wärme;4;8;9;"3/201" ;346/0;
6;1010;182;Grundlagen Bauphysik 1;3;8;71;"3/203" "3/211" "3/212" "3/214" "3/215" "3/223" "3/224" ;1471/0;
6;1040;182;Grundlagen Bau 1;3;8;150;"2/264" "2/301" "2/214" "1/010" "1/013" "1/020" "L/107" "L/106" "L/111" "L/116" "L/123" "L/125" "L/126" "L/128" ;346/6281;
6;1060;182;Fremdsprache;2;8;7;"1/U27" ;2839/0;
6;2020;182;Grundlagen Physik 2;3;8;53;"1/U28" "3/323" "8/008" "8/023" ;1471/1436;
6;2040;182;Grundlagen Bau 2;3;8;39;"8/043" "8/141" "8/146" "8/341" ;346/6281;
6;3010;182;Schallschutz 1;4;8;77;"8/346" "8/003" "1/U37" "1/106" "1/108" "1/109" ;3615/1471;
6;3030;182;Mathematik 3;2;8;84;"1/110" "1/111" "1/303" "1/306" "1/206" "1/208" "1/209" "1/210" ;346/0;
6;4010;182;Schallschutz 2;4;8;28;"1/211" "1/220" ;3615/1471;
6;4030;182;Mathematik 4;2;8;17;"1/222" "1/225" ;1436/0;
6;2050;132;Versicherungsmathem.;4;10;1;"1/U27" ;17/0;
6;4030;132;Mathematik 4;3;10;8;"1/110" ;1436/0;
6;1020;182;Grundlagen Physik 1;3;10;134;"1/111" "1/303" "1/306" "1/206" "1/208" "1/209" "1/210" "1/222" "1/225" ;1436/1471;
6;3030;132;Mathematik 3;3;10;53;"3/203" "3/211" "3/212" "3/214" "3/215" "3/223" ;346/0;
6;1050;182;Betriebswirtschaftslehre;2;10;113;"3/224" "2/264" "2/301" "2/214" "1/010" "1/013" "1/020" "L/107" "L/106" "L/111" ;15804/0;
6;2030;182;Mathematik 2;4;10;33;"L/116" "L/123" "L/125" "L/126" ;1436/1963;
6;3020;182;Wärmeschutz 1;3;10;77;"L/128" "1/U28" "3/323" "8/008" "8/023" "8/043" ;346/149;
6;4020;182;Wärmeschutz 2;3;10;27;"8/141" "8/146" "8/341" ;346/149;
6;7010;132;Theoret. Bauphysik Schall;4;11;47;"1/227" "1/309" "1/311" "3/101" ;1471/0;
6;2050;182;Recht;2;11;51;"3/111" "3/201" "8/346" ;1947/0;
6;4050;182;Energietechnik 2;4;11;17;"8/003" "1/U37" ;1436/149;
6;1010;162;GIS;6;11;33;"1/106" "1/108" "1/109" ;27/15660;
6;1030;162;Geostatistics /Surface M.;5;11;106;"1/211" "1/220" ;790/696;
6;2010;182;Grundlagen Bauphysik 2;3;12;65;"3/224" "2/264" "2/301" "2/214" "1/010" "1/013" ;346/1471;
6;6040;182;Raum- und Psychoakustik;4;12;9;"1/020" ;833/1471;
6;1040;162;Scientific Skills, Inter.;3;12;66;"L/107" "L/106" "L/111" "1/110" "1/111" "1/303" ;139/0;
6;2020;162;Advanced Topics in PRS;3;12;51;"1/306" "1/206" "1/208" "1/209" "1/210" ;790/236;
6;2020;191;Managing Business/Finance;5;12;23;"1/222" "1/225" ;553/0;
6;3050;182;Energietechnik 1;4;13;43;"3/111" "3/201" ;1436/1471;
6;2010;162;Planning, Organisation/M.;4;13;65;"3/203" "3/211" "3/212" "3/214" "3/215" "3/223" "L/128" ;1098/3254;
6;2030;191;Managing Information;2;13;22;"1/U27" "1/U28" ;553/0;
6;2010;191;Managing Real Estate/Inf.;2;13;9;"3/323" "8/008" ;553/0;
6;2030;191;Managing Information;3;13;22;"8/023" "8/043" ;553/0;
6;17860;171;Stadtklimatologie;2;13;8;"8/141" "8/146" ;485/5402;
6;17900;171;Techn.Infrastruktur;3;13;4;"8/341" ;6174/5402;
6;1020;91;Databases II;4;13;4;"8/346" ;92/0;
6;1020;162;Photogrammetry/Remote S.;6;13;94;"L/116" "L/123" "L/125" "L/126" ;236/790;
6;2030;162;Geodata: Capture, Sources;3;14;66;"1/227" "1/309" "1/311" "3/101" "8/003" ;521/133;
6;2020;191;Managing Business/Finance;5;14;23;"1/U37" ;553/0;
7;1040;191;Project Managment;2;8;1;"1/227" ;553/0;
7;17880;171;Stadtbaugeschichte;3;8;8;"1/309" ;6120/5402;
7;1040;91;Software Engineering II;4;8;1;"1/311" ;342/4406;
7;2030;91;Software Verification;3;8;28;"3/101" ;15865/0;
7;2120;91;Business Intelligence;3;8;27;"3/111" "3/201" ;92/0;
7;7300;172;Informationstechnologien;2;8;15;"3/203" ;1132/15842;
7;7500;172;Transportmanagement;4;8;19;"3/211" "3/212" "3/214" ;1132/0;
7;1040;121;GMP Polarverfahren;4;8;2;"3/215" ;696/139;
7;2020;121;Physik;3;8;3;"3/223" ;15649/0;
7;4020;121;Nahbereichsvermessung;4;8;3;"3/224" ;236/3691;
7;6020;121;Behördliches Vermessungsw;3;8;1;"2/264" ;15962/521;
7;1040;182;Grundl.Geog.Informations.;4;8;150;"2/301" "2/214" "1/010" "1/013" "1/020" "L/107" "L/106" "L/111" "L/116" "L/123" "L/125" "L/126" "L/128" "1/U27" ;521/15660;
7;2020;182;Physik;3;8;53;"1/U28" "3/323" "8/008" "8/023" ;15649/0;
7;2040;182;Satellitenges.Postitionsb;2;8;39;"8/043" "8/141" "8/146" "8/341" ;15959/521;
7;3010;182;Ausgleichungsrechn./Stat;4;8;77;"8/346" "8/003" "1/U37" "1/106" "1/108" "1/109" ;133/790;
7;3030;182;Räuml.Datenbank u.Datenmo;3;8;84;"1/110" "1/111" "1/303" "1/306" "1/206" "1/208" "1/209" "1/210" ;27/8415;
7;4020;182;Nahbereichsvermessung;3;8;27;"1/211" "1/220" ;3691/0;
7;4040;182;Programmieren 2;3;8;25;"1/222" "1/225" ;139/521;
7;1040;171;Regionalentwicklung;3;10;7;"1/227" ;1023/5402;
7;2020;91;System Design;4;10;33;"3/203" "8/043" ;4406/0;
7;7200;172;Umwelttechnologien;2;10;19;"8/141" "8/146" "8/341" ;15786/0;
7;1010;91;Concepts Programm. Lang.;4;10;2;"1/309" ;1741/0;
7;7400;172;Umwelt und Logistik;4;10;19;"3/101" ;1132/0;
7;2010;121;Mathematik 2;4;10;2;"3/111" ;2745/0;
7;4040;121;Progr.konzepte der Geoinf;3;10;1;"3/201" ;521/139;
7;2010;182;Mathematik 2;4;10;65;"3/223" "2/264" "1/U28" "3/323" "8/008" ;2745/0;
7;2050;182;Programmieren 1;3;10;51;"8/023" "1/110" "1/111" "1/303" ;521/0;
7;4010;182;Photogrammetrie;4;10;28;"1/306" "1/206" "1/208" ;236/790;
7;1020;162;Betrieb von Straßen;6;10;94;"1/209" "1/210" "1/211" "1/220" "1/222" "1/225" ;6874/0;
7;2040;91;Middleware Technology;4;11;26;"1/311" "3/211" "3/212" ;342/0;
7;4010;121;Photogrammetrie;6;11;4;"3/214" ;236/790;
7;2030;182;GMH Positions-/Höhenbest.;3;11;33;"3/215" "3/224" "2/301" ;3691/0;
7;4030;182;Behördl. Vermessungsw.u.R;3;11;17;"2/214" "1/010" ;15962/521;
7;1040;162;Transportlogistik;4;11;66;"1/013" "1/020" "L/107" "L/106" "L/111" "L/116" ;203/0;
7;2020;162;Bemessung u.Erhaltung v.S;4;11;51;"L/123" "L/125" "L/126" "L/128" "1/U27" ;6874/0;
7;3010;162;Integriertes Arbeiten;2;11;21;"8/346" "8/003" ;203/0;
7;17120;182;Geod:Capture,Sources;4;11;2;"1/U37" ;133/521;
7;4020;112;Bauphysik und Vermessung;5;11;3;"1/106" ;5454/521;
7;4040;112;Investition u.Finanz.;4;11;3;"1/108" ;1111/1039;
7;5016;112;Arbeitsschutzmanagement;2;11;21;"1/109" ;9871/1597;
7;8400;172;Umweltrechnung;2;12;1;"8/141" ;1132/0;
7;3020;182;Ing.bau/Ing.vermessung;3;12;77;"8/146" "8/341" ;3684/521;
7;1020;182;GMP Polarverfahren;4;12;134;"1/227" ;696/139;
7;1030;162;ÖPNV Straße u.Schiene;6;13;106;"3/201" "3/203" "8/023" "8/043" "8/346" "8/003" "1/109" ;6874/0;
7;2030;162;Rechtsverfahren u.Planung;4;13;66;"1/110" "1/111" "1/303" ;203/0;
7;2010;162;Binnenschifffahrt u.Luftv;3;13;65;"1/309" "3/101" "3/111" "3/215" ;203/0;
7;4010;112;Konstr.Ingenieurbau;3;13;5;"3/223" ;1832/0;
7;4050;112;Energie;3;13;4;"3/224" ;15786/5454;
7;16050;112;Kauf- und Mietvertrag;2;13;1;"2/264" ;14702/3698;
7;1020;182;Mechanik I;3;13;134;"2/301" "2/214" "1/010" "1/U28" "3/323" "8/008" "1/306" "1/206" "1/208" ;1832/0;
7;2020;182;Liegenschaftsk./Planung;3;14;53;"1/311" "3/211" "3/212" "1/013" "1/020" ;568/15660;
7;16010;112;Heizung,Klima,Lüftung 1;2;14;7;"L/107" ;5454/0;
7;1030;182;Baustoffkunde u.Bauphysik;4;14;93;"L/106" "L/111" "L/116" "L/123" "L/125" "L/126" "L/128" "1/U27" "8/141" ;14014/5454;
7;1050;182;Betriebswirtschaft;4;14;113;"1/U37" "1/108" ;1111/3698;
8;4030;112;Baumanagement III;4;8;6;"1/227" ;1111/1597;
8;1040;182;Volkswirtschaft + Recht 1;4;8;150;"1/309" "1/311" "3/101" "3/111" "3/201" "3/203" "3/211" "3/212" "3/214" "3/215" "3/223" ;7410/14014;
8;2030;182;Geotechnik u. Vermessung;4;8;33;"3/224" "2/264" "2/301" ;3691/5454;
8;3010;182;Architektur und Städtebau;2;8;77;"2/214" "1/010" "1/013" "1/020" "L/107" "L/106" "L/111" ;14014/0;
8;3050;182;Bilanzierung u.Steuerl.;4;8;43;"L/116" "L/123" "L/125" "L/126" ;1111/15835;
8;4030;182;Baumanagement III;2;8;17;"L/128" "1/U27" ;1597/1111;
8;4050;182;Schlüsselfertigbau;2;8;17;"1/U28" ;14014/1597;
8;6010;112;Immobilienökonomie;2;8;24;"3/323" "8/008" ;3698/115;
8;6040;112;Wärmesch. u. Energietec.I;4;8;23;"8/023" "8/043" ;5454/0;
8;7030;112;Energietechnik II;4;8;59;"8/141" "8/146" "8/341" "8/346" "8/003" "1/U37" ;5454/0;
8;6020;112;Recht III;4;8;24;"1/106" "1/108" "1/109" ;3142/1111;
8;7010;112;Personal und Recht IV;4;8;57;"1/110" "1/111" "1/303" "1/306" "1/206" ;1369/1597;
8;1030;112;Grundlagen der BWL;3;8;47;"1/208" "1/209" "1/210" "1/211" ;15675/0;
8;2010;112;Mathematik 2;4;8;29;"1/220" "1/222" "1/225" ;2002/0;
8;1010;182;Mathematik I;2;10;71;"2/214" "1/010" "1/013" "1/020" "L/107" "L/106" "L/111" ;15351/1832;
8;2050;182;Rechnungswesen;4;10;51;"L/128" "1/U27" "1/U28" "3/323" ;16025/1111;
8;4020;182;Wärmes.u.Energiet.I;4;10;27;"8/008" ;5454/0;
8;2010;182;Mathematik II;4;10;65;"1/208" "1/209" "1/210" "1/211" ;4169/1832;
8;3020;182;Baukonstruktion u.Brands.;1;11;77;"1/227" "1/309" "1/311" "3/101" "3/111" ;14014/597;
8;4060;182;Arbeitsschutz;2;11;17;"3/201" ;8412/1597;
8;7010;112;Personal und Recht IV;4;11;57;"3/203" "3/211" "3/212" "3/214" "3/215" "3/223" ;1369/1597;
8;6050;112;Immobilienrecht;3;11;7;"3/224" ;3698/0;
8;1050;112;Grundl. Wirtschaftsinfor.;2;11;41;"2/264" "2/301" "L/116" "L/123" "L/125" ;3251/0;
8;2030;112;Betriebl. Rechnungswesen;3;11;21;"L/126" "8/023" ;4136/0;
8;3010;112;Operations Research;3;11;47;"8/043" "8/141" "8/146" "8/341" "8/346" ;3213/0;
8;3040;112;Datenbanksysteme;2;11;42;"8/003" "1/U37" "1/106" ;312/0;
8;4010;112;Statistik;3;11;5;"1/108" ;3213/0;
8;4030;112;Software Eng.Modellierung;4;11;6;"1/109" ;388/0;
8;7030;112;Recht;2;11;59;"1/110" "1/111" "1/303" "1/306" "1/206" ;2413/0;
8;17210;112;Verteilte Systeme;4;11;7;"1/220" ;15950/0;
8;8004;172;Rechn. u. Finanzman. I;5;11;45;"1/222" "1/225" ;14333/1039;
8;4040;182;Investition u. Finanzier.;4;12;25;"2/214" "1/010" "1/013" ;1111/1039;
8;6010;112;Immobilienökonomie;4;12;24;"1/020" "L/107" ;3698/115;
8;2020;112;Volkswirtschaftslehre;3;12;40;"L/106" "L/111" ;386/0;
8;6020;112;Recht III;4;12;24;"1/227" "1/309" "1/311" ;3142/1111;
8;2050;112;Programmieren 2;4;12;19;"3/101" ;4123/0;
8;3050;112;IT-Sicherheit;3;12;47;"3/111" ;3251/0;
8;1020;112;Diskrete Mathematik;3;13;45;"3/201" "2/264" "2/301" "L/116" ;514/0;
8;4020;112;Grundlagen der  Logistik;3;13;3;"L/123" ;15452/0;
8;17200;112;Datenstrukt./Algorithmen;4;13;5;"L/125" ;4406/0;
8;8005;172;Lean Management;4;13;40;"L/128" "1/U27" "1/U28" ;1304/2151;
8;9001;172;Diagnostik;2;13;32;"3/323" "8/008" "8/003" ;2871/4715;
8;1040;162;Marketing & Konsumentenp.;3;13;66;"1/U37" "1/106" "1/110" "1/111" "1/303" ;8911/0;
8;1050;162;;2;13;35;"1/306" "1/206" ;3123/2394;
8;3030;112;Kosten-/Leistungsrechnung;4;13;49;"3/224" "L/126" "8/023" "8/043" ;694/0;
8;9001;132;Diagnostik;2;13;57;"8/141" "8/146" "8/341" "8/346" "1/108" "1/208" "1/209" ;2871/4715;
8;1020;162;Forschungsmethoden I;3;13;94;"1/210" "1/211" ;7365/15445;
8;7010;112;Betriebspsychologie;2;14;57;"3/203" "3/211" "3/212" "3/214" "3/215" "3/223" ;3512/0;
8;8007;172;;5;14;45;"1/109" "1/220" ;8911/7777;
